Model,Frame,PSNR,SSIM,LPIPS,L1_Static
baseline,10,25.23961162570069,0.9226021,0.17170976102352142,0.0036994189
loss_mask,10,22.91979118785468,0.9074616,0.21650245785713196,0.002622811
ray_filter,10,20.607841521826057,0.86337155,0.19289012253284454,0.010008538
